city_or_county,week,score
Abbeville,7,2.0
Abbeville,8,1.0
Abbeville,13,1.0
Abbeville,16,4.0
Abbeville,22,1.0
Abbeville,26,3.0
Abbeville,31,2.0
Abbeville,37,3.0
Abbeville,39,2.0
Abbeville,43,4.0
Abbeville,46,3.0
Abbeville,48,4.0
Abbeville,49,2.0
Abbeville,51,2.0
Aberdeen,2,3.0
Aberdeen,4,5.0
Aberdeen,5,1.5
Aberdeen,6,1.0
Aberdeen,8,1.0
Aberdeen,9,2.0
Aberdeen,10,1.0
Aberdeen,11,1.0
Aberdeen,12,1.5
Aberdeen,15,2.0
Aberdeen,19,2.5
Aberdeen,20,1.0
Aberdeen,21,2.0
Aberdeen,22,2.0
Aberdeen,26,1.0
Aberdeen,27,1.5
Aberdeen,29,1.0
Aberdeen,32,2.5
Aberdeen,33,2.0
Aberdeen,40,4.0
Aberdeen,43,2.6666666666666665
Aberdeen,47,3.0
Aberdeen,49,2.5
Aberdeen,50,1.0
Aberdeen,51,1.0
Abilene,1,2.0
Abilene,2,1.0
Abilene,3,3.0
Abilene,4,2.0
Abilene,5,1.5
Abilene,6,2.0
Abilene,8,1.5
Abilene,9,2.0
Abilene,10,1.3333333333333333
Abilene,12,1.0
Abilene,15,2.0
Abilene,16,1.75
Abilene,17,2.0
Abilene,18,2.0
Abilene,19,4.0
Abilene,20,2.6666666666666665
Abilene,21,2.0
Abilene,22,2.0
Abilene,23,2.0
Abilene,24,2.6666666666666665
Abilene,25,2.0
Abilene,27,2.0
Abilene,29,2.0
Abilene,30,2.5
Abilene,31,1.75
Abilene,33,3.0
Abilene,36,2.0
Abilene,37,2.0
Abilene,38,1.5
Abilene,42,2.0
Abilene,44,1.6666666666666667
Abilene,45,4.0
Abilene,49,2.0
Abilene,50,2.5
Abilene,51,1.0
Abilene,52,3.0
Abingdon,2,2.0
Abingdon,6,3.0
Abingdon,18,1.0
Abingdon,26,1.0
Abingdon,27,2.0
Abingdon,31,4.0
Abingdon,34,2.0
Abingdon,39,2.0
Abingdon,49,1.0
Abingdon,51,1.0
Acworth,1,1.0
Acworth,2,1.0
Acworth,10,2.0
Acworth,12,1.0
Acworth,23,3.0
Acworth,29,2.0
Acworth,38,2.0
Acworth,41,2.0
Acworth,43,7.0
Acworth,44,1.0
Acworth,45,2.0
Acworth,46,2.0
Acworth,48,3.0
Ada,14,4.0
Ada,28,1.0
Ada,30,2.0
Ada,33,1.0
Ada,34,3.0
Ada,37,2.0
Ada,39,4.0
Ada,42,2.0
Ada,50,1.0
Adel,1,1.0
Adel,10,2.0
Adel,25,2.0
Adel,31,2.0
Adel,33,2.0
Adel,34,3.0
Adel,38,1.0
Adel,50,2.0
Adrian,18,2.0
Adrian,19,2.0
Adrian,22,1.0
Adrian,26,3.0
Adrian,29,5.0
Adrian,42,1.0
Adrian,44,1.0
Adrian,49,1.0
Aiken,1,2.0
Aiken,2,2.6666666666666665
Aiken,3,2.5
Aiken,4,2.5
Aiken,5,3.5
Aiken,6,1.5
Aiken,7,1.5
Aiken,8,1.0
Aiken,9,2.3333333333333335
Aiken,10,2.2
Aiken,11,1.6
Aiken,12,2.0
Aiken,13,1.0
Aiken,14,2.3333333333333335
Aiken,15,2.4
Aiken,16,3.0
Aiken,17,3.5
Aiken,18,1.0
Aiken,19,1.8
Aiken,20,2.0
Aiken,21,1.3333333333333333
Aiken,22,1.75
Aiken,23,1.5
Aiken,25,1.3333333333333333
Aiken,26,2.0
Aiken,28,1.0
Aiken,29,5.0
Aiken,30,1.0
Aiken,31,2.6666666666666665
Aiken,32,2.0
Aiken,33,2.0
Aiken,35,2.0
Aiken,38,2.3333333333333335
Aiken,39,3.5
Aiken,40,1.0
Aiken,41,1.0
Aiken,42,1.75
Aiken,43,2.2
Aiken,44,2.0
Aiken,45,1.5
Aiken,46,2.0
Aiken,47,2.0
Aiken,48,2.5
Aiken,49,1.0
Aiken,50,1.0
Aiken,51,1.6666666666666667
Aiken,52,1.3333333333333333
Aiken,53,2.0
Akron,1,1.3333333333333333
Akron,2,2.4
Akron,3,1.6
Akron,4,2.2
Akron,5,1.7142857142857142
Akron,6,2.0
Akron,7,2.3333333333333335
Akron,8,1.6666666666666667
Akron,9,1.7777777777777777
Akron,10,1.5
Akron,11,1.5
Akron,12,2.4
Akron,13,1.7142857142857142
Akron,14,2.6
Akron,15,3.0
Akron,16,2.3333333333333335
Akron,17,2.8
Akron,18,2.6666666666666665
Akron,19,2.0
Akron,20,2.0
Akron,21,2.375
Akron,22,2.0
Akron,23,1.7142857142857142
Akron,24,1.6666666666666667
Akron,25,1.6666666666666667
Akron,26,2.6666666666666665
Akron,27,1.8
Akron,28,2.5
Akron,29,1.8571428571428572
Akron,30,2.4444444444444446
Akron,31,2.75
Akron,32,2.0
Akron,33,2.25
Akron,34,2.25
Akron,35,1.5
Akron,36,2.3333333333333335
Akron,37,1.5
Akron,38,1.8
Akron,39,1.6666666666666667
Akron,40,1.8571428571428572
Akron,41,2.0
Akron,42,3.0
Akron,43,1.0
Akron,44,1.6666666666666667
Akron,45,2.142857142857143
Akron,46,2.125
Akron,47,1.75
Akron,48,2.5
Akron,49,1.5
Akron,50,1.5
Akron,51,2.0
Akron,52,2.1666666666666665
Akron,53,2.5
Alachua,1,2.0
Alachua,13,2.0
Alachua,16,2.0
Alachua,17,2.0
Alachua,20,3.0
Alachua,24,1.0
Alachua,25,2.0
Alachua,27,3.0
Alachua,31,2.0
Alachua,42,2.0
Alachua,45,1.0
Alachua,51,1.0
Alameda,5,2.0
Alameda,15,3.0
Alameda,25,1.0
Alameda,26,1.0
Alameda,43,2.0
Alameda,46,1.0
Alameda,47,2.0
Alameda,49,2.0
Alamogordo,4,3.0
Alamogordo,5,2.0
Alamogordo,8,3.0
Alamogordo,11,3.0
Alamogordo,15,3.0
Alamogordo,20,1.0
Alamogordo,24,1.5
Alamogordo,29,2.0
Alamogordo,30,2.0
Alamogordo,35,3.0
Alamogordo,44,2.0
Albany,1,1.0
Albany,2,1.0
Albany,3,1.8571428571428572
Albany,4,2.3333333333333335
Albany,5,1.2
Albany,6,1.5
Albany,7,2.0
Albany,8,1.0
Albany,9,1.0
Albany,10,1.5714285714285714
Albany,11,2.0
Albany,12,1.5
Albany,13,1.4
Albany,14,1.4
Albany,15,1.25
Albany,16,1.8
Albany,17,1.0
Albany,18,1.6666666666666667
Albany,19,1.7272727272727273
Albany,20,2.0
Albany,21,1.6666666666666667
Albany,22,2.6
Albany,23,2.2
Albany,24,1.3333333333333333
Albany,25,2.0
Albany,26,1.6666666666666667
Albany,27,1.5714285714285714
Albany,28,1.5
Albany,29,2.3333333333333335
Albany,30,1.8
Albany,31,1.3333333333333333
Albany,32,1.2
Albany,33,1.0
Albany,34,1.5555555555555556
Albany,35,1.7142857142857142
Albany,36,1.5
Albany,37,1.8571428571428572
Albany,38,2.0
Albany,39,2.1666666666666665
Albany,40,2.3333333333333335
Albany,41,1.875
Albany,42,2.3
Albany,43,1.5555555555555556
Albany,44,1.4444444444444444
Albany,45,2.4
Albany,46,1.4
Albany,47,2.8
Albany,48,2.0
Albany,49,1.3333333333333333
Albany,50,1.8
Albany,51,1.1666666666666667
Albany,52,1.4
Albany,53,2.5
Albany (Colonie),7,1.0
Albany (Colonie),12,1.0
Albany (Colonie),14,1.0
Albany (Colonie),17,5.0
Albany (Colonie),24,1.0
