year,state,congressional_district,party,totalvotes,republican_votes,democrat_votes
1976,ALABAMA,1,REPUBLICAN,157170,98257,58324
1976,ALABAMA,2,REPUBLICAN,156362,90069,65630
1976,ALABAMA,3,DEMOCRAT,108048,1102,106935
1976,ALABAMA,4,DEMOCRAT,176022,34187,141490
1976,ALABAMA,5,DEMOCRAT,113560,7,113553
1976,ALABAMA,6,REPUBLICAN,162518,92113,69701
1976,ALABAMA,7,DEMOCRAT,110501,5,110496
1976,ALASKA,0,REPUBLICAN,118208,83722,34141
1976,ARIZONA,1,REPUBLICAN,168119,96397,71005
1976,ARIZONA,2,DEMOCRAT,182128,75313,106054
1976,ARIZONA,3,DEMOCRAT,187165,97328,88854
1976,ARIZONA,4,REPUBLICAN,191590,93154,97452
1976,ARKANSAS,1,DEMOCRAT,168782,52039,116217
1976,ARKANSAS,2,DEMOCRAT,167607,22599,144780
1976,CALIFORNIA,1,DEMOCRAT,217016,55974,160477
1976,CALIFORNIA,2,REPUBLICAN,216563,121290,94320
1976,CALIFORNIA,3,DEMOCRAT,191854,51554,139779
1976,CALIFORNIA,4,DEMOCRAT,151037,74441,75844
1976,CALIFORNIA,5,DEMOCRAT,167754,63368,103746
1976,CALIFORNIA,6,DEMOCRAT,130916,43979,86493
1976,CALIFORNIA,7,DEMOCRAT,196816,49254,147064
1976,CALIFORNIA,8,DEMOCRAT,196954,73866,122342
1976,CALIFORNIA,9,DEMOCRAT,164391,47513,116398
1976,CALIFORNIA,10,DEMOCRAT,155443,43016,111992
1976,CALIFORNIA,11,DEMOCRAT,176194,67890,107618
1976,CALIFORNIA,12,REPUBLICAN,196857,130332,65860
1976,CALIFORNIA,13,DEMOCRAT,202611,66647,135291
1976,CALIFORNIA,14,DEMOCRAT,169959,46207,123285
1976,CALIFORNIA,15,DEMOCRAT,128435,35343,92735
1976,CALIFORNIA,16,DEMOCRAT,195705,90248,104545
1976,CALIFORNIA,17,DEMOCRAT,158168,53727,103898
1976,CALIFORNIA,18,REPUBLICAN,158341,101658,56116
1976,CALIFORNIA,19,REPUBLICAN,192923,124201,68035
1976,CALIFORNIA,20,REPUBLICAN,217351,146158,70481
1976,CALIFORNIA,21,DEMOCRAT,153109,50759,101837
1976,CALIFORNIA,22,REPUBLICAN,183312,114769,67858
1976,CALIFORNIA,23,DEMOCRAT,217053,85570,130619
1976,CALIFORNIA,24,DEMOCRAT,159774,50963,108296
1976,CALIFORNIA,25,DEMOCRAT,80625,22432,57966
1976,CALIFORNIA,26,REPUBLICAN,171712,112619,58502
1976,CALIFORNIA,27,REPUBLICAN,209611,114623,94038
1976,CALIFORNIA,28,DEMOCRAT,142915,28020,114612
1976,CALIFORNIA,29,DEMOCRAT,96602,13946,82515
1976,CALIFORNIA,30,DEMOCRAT,111270,28218,82767
1976,CALIFORNIA,31,DEMOCRAT,83155,0,83155
1976,CALIFORNIA,32,DEMOCRAT,127428,35040,92034
1976,CALIFORNIA,33,REPUBLICAN,173205,95398,77029
1976,CALIFORNIA,34,DEMOCRAT,199135,97166,100988
1976,CALIFORNIA,35,DEMOCRAT,164237,75997,87472
1976,CALIFORNIA,36,DEMOCRAT,147556,56159,90830
1976,CALIFORNIA,37,REPUBLICAN,188007,133634,53829
1976,CALIFORNIA,38,DEMOCRAT,162409,58501,103317
1976,CALIFORNIA,39,REPUBLICAN,209402,122657,85878
1976,CALIFORNIA,40,REPUBLICAN,250644,148512,101111
1976,CALIFORNIA,41,REPUBLICAN,223374,128784,93644
1976,CALIFORNIA,42,DEMOCRAT,135627,32239,103062
1976,CALIFORNIA,43,REPUBLICAN,267051,173576,92540
1976,COLORADO,1,DEMOCRAT,193610,89667,103037
1976,COLORADO,2,DEMOCRAT,240278,117749,121340
1976,COLORADO,3,DEMOCRAT,175232,85071,89302
1976,COLORADO,4,REPUBLICAN,221018,119458,100544
1976,COLORADO,5,REPUBLICAN,190851,126784,63426
1976,CONNECTICUT,1,DEMOCRAT,225076,95631,128479
1976,CONNECTICUT,2,DEMOCRAT,219308,75858,142684
1976,CONNECTICUT,3,DEMOCRAT,222643,100010,121623
1976,CONNECTICUT,4,REPUBLICAN,207058,126314,79937
1976,CONNECTICUT,5,REPUBLICAN,236087,157009,78287
1976,CONNECTICUT,6,DEMOCRAT,238300,102352,134914
1976,DELAWARE,0,REPUBLICAN,215085,110636,103405
1976,FLORIDA,5,REPUBLICAN,234631,138371,95297
1976,FLORIDA,6,REPUBLICAN,232218,151371,80039
1976,FLORIDA,7,DEMOCRAT,156338,53063,102739
1976,FLORIDA,8,DEMOCRAT,178154,74046,103360
1976,FLORIDA,9,REPUBLICAN,167139,130509,36264
1976,FLORIDA,10,REPUBLICAN,247686,164273,82579
1976,FLORIDA,11,DEMOCRAT,218437,19212,199031
1976,FLORIDA,12,REPUBLICAN,199076,107268,90890
1976,FLORIDA,13,DEMOCRAT,163179,35003,127822
1976,FLORIDA,14,DEMOCRAT,113439,30466,82665
1976,FLORIDA,15,DEMOCRAT,172233,50432,121292
1976,GEORGIA,1,DEMOCRAT,73888,61,73826
1976,GEORGIA,2,DEMOCRAT,96026,217,95807
1976,GEORGIA,3,DEMOCRAT,105004,11712,93174
1976,GEORGIA,4,DEMOCRAT,161412,50639,110261
1976,GEORGIA,5,DEMOCRAT,144063,47527,96056
1976,GEORGIA,6,DEMOCRAT,149944,71688,77532
1976,GEORGIA,7,DEMOCRAT,153554,68277,84587
1976,GEORGIA,8,DEMOCRAT,130186,39231,90559
1976,GEORGIA,9,DEMOCRAT,143357,29811,113245
1976,GEORGIA,10,DEMOCRAT,94864,81,94782
1976,HAWAII,1,DEMOCRAT,137602,76776,60050
1976,HAWAII,2,DEMOCRAT,156099,31663,124116
1976,IDAHO,1,REPUBLICAN,175495,95833,78865
1976,IDAHO,2,REPUBLICAN,166412,84175,81415
1976,ILLINOIS,1,DEMOCRAT,137193,10455,126632
1976,ILLINOIS,2,DEMOCRAT,150335,22808,127297
1976,ILLINOIS,3,DEMOCRAT,196365,79966,115591
1976,ILLINOIS,4,REPUBLICAN,189772,124847,64276
1976,ILLINOIS,5,DEMOCRAT,155092,35398,119336
1976,ILLINOIS,6,REPUBLICAN,176027,106667,68666
1976,ILLINOIS,7,DEMOCRAT,104094,15696,88239
1976,ILLINOIS,8,DEMOCRAT,131107,25257,105595
1976,ILLINOIS,9,DEMOCRAT,168983,46597,121915
1976,ILLINOIS,10,DEMOCRAT,213414,105544,106804
1976,ILLINOIS,11,DEMOCRAT,201440,65028,135755
1976,ILLINOIS,12,REPUBLICAN,208553,151899,56087
1976,ILLINOIS,13,REPUBLICAN,164266,109726,53995
1976,ILLINOIS,14,REPUBLICAN,236588,176076,59907
1976,ILLINOIS,15,REPUBLICAN,190231,102555,86799
1976,ILLINOIS,16,REPUBLICAN,168328,114324,53464
1976,ILLINOIS,17,REPUBLICAN,194365,113145,80408
1976,ILLINOIS,18,REPUBLICAN,187130,108028,78311
1976,ILLINOIS,19,REPUBLICAN,193539,132571,60358
1976,ILLINOIS,20,REPUBLICAN,215857,137223,77848
1976,ILLINOIS,21,REPUBLICAN,184035,137037,46528
1976,ILLINOIS,22,DEMOCRAT,210289,80291,129187
1976,ILLINOIS,23,DEMOCRAT,162938,34477,128113
1976,ILLINOIS,24,DEMOCRAT,226110,73028,152344
1976,INDIANA,1,DEMOCRAT,169911,48268,121155
1976,INDIANA,2,DEMOCRAT,214845,96256,117617
1976,INDIANA,3,DEMOCRAT,178871,76323,101777
1976,INDIANA,4,REPUBLICAN,198183,107762,89517
1976,INDIANA,5,REPUBLICAN,206001,127194,78019
1976,INDIANA,6,DEMOCRAT,192627,85985,105773
1976,INDIANA,7,REPUBLICAN,207360,130005,76581
1976,INDIANA,8,DEMOCRAT,216026,105943,109013
1976,INDIANA,9,DEMOCRAT,136056,0,136056
1976,INDIANA,10,DEMOCRAT,191449,76121,114559
1976,INDIANA,11,DEMOCRAT,191859,75204,115895
1976,IOWA,1,REPUBLICAN,211204,109694,100495
1976,IOWA,2,DEMOCRAT,204550,100554,102980
1976,IOWA,3,REPUBLICAN,208938,117957,90071
